Spanish dataset,,,,,,,English dataset,,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
19,determinar,Action,Action,Action,,,19,site,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
20,scl,Third party,Companies and Organizations,Companies and Organizations,https://www.wikiwand.com/en/SCL_Group,,20,personal,Privacy and security terms,Attribute or characteristic,Attribute or characteristic,es una caracteristica de una emporesa
21,criollo,Undetermined,Third party,Undetermined,no sabemos como apareció este termino,,21,organizations,Synonymous,Synonymous,Synonymous,
22,relaciones,Undetermined,Undetermined,Undetermined,,,22,employees,Third party,Third party,Third party,
23,cambridge,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,23,agency,Third party,Companies and Organizations,Third party,no asumimos q ocupa datos
24,datos,Data & Information,Data & Information,Data & Information,,,24,co,Synonymous,Synonymous,Synonymous,
25,laboratories,Third party,Third party,Third party,,,25,app,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
26,eleccion,Action,Action,Action,,,26,advertisers,Companies and Organizations,Companies and Organizations,Companies and Organizations,
27,radica,Action,Attribute or characteristic,Action,es una acción,,27,also,Undetermined,Undetermined,Undetermined,
28,strategic,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,28,entities,Third party,Third party,Third party,
29,legales,Attribute or characteristic,Ownership agency,Attribute or characteristic,es un atributo de la empres,,29,information,Data & Information,Data & Information,Data & Information,
30,analytica,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,30,product,Undetermined,Undetermined,Undetermined,
31,injerencia,Undetermined,Action,Reaction or attitude,es una actividad pero también una reaccion (entrometerse),,31,website,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
32,clientes,Users,Users,Users,,,32,platforms,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
33,procesos,Undetermined,"Data Collection, handling and/or storage",Action,realizan procesos,,33,government,Third party,Companies and Organizations,Third party,
34,bloomsbury,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,34,corporations,Synonymous,Synonymous,Synonymous,
35,grave,Reaction or attitude,Attribute or characteristic,Reaction or attitude,,,35,organisations,Synonymous,Synonymous,Synonymous,
36,proceso,Undetermined,"Data Collection, handling and/or storage",Action,,,36,gsr,Third party,Companies and Organizations,Companies and Organizations,es parte del consorcio 
37,britanica,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,37,assets,Undetermined,Undetermined,Undetermined,
38,sensible,Reaction or attitude,Reaction or attitude,Undetermined,,,38,eldon,Companies and Organizations,Companies and Organizations,Companies and Organizations,
39,global,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,39,facebooks,Companies and Organizations,Companies and Organizations,Companies and Organizations,
40,criticos,,,,,,40,clients,,,,
41,aggregate,,,,,,41,previously,,,,
42,solamente,,,,,,42,customer,,,,
43,divulgar,,,,,,43,kogan,,,,
44,startup,,,,,,44,operation,,,,
45,inventarios,,,,,,45,onavo,,,,
46,recopilar,,,,,,46,propria,,,,
47,campana,,,,,,47,manufacturer,,,,
48,consentimiento,,,,,,48,competitors,,,,
49,mismos,,,,,,49,scl,,,,
50,personal,,,,,,50,investors,,,,
51,dsasoluciones,,,,,,51,broker,,,,
52,usuarios,,,,,,52,products,,,,
53,empresarial,,,,,,53,cambridge,,,,
54,evitar,,,,,,54,apps,,,,
55,inicialmente,,,,,,55,theyve,,,,
56,emerdata,,,,,,56,advertiser,,,,
57,aggregateiq,,,,,,57,emerdata,,,,
58,manejo,,,,,,58,corp,,,,
59,desarrollador,,,,,,59,orgs,,,,
60,practica,,,,,,60,cambridgeanalytica,,,,
61,cubeyou,,,,,,61,customers,,,,
62,exempleado,,,,,,62,reportedly,,,,
63,tratados,,,,,,63,operations,,,,
64,idea,,,,,,64,cos,,,,
65,consultoria,,,,,,65,employee,,,,
66,autorizada,,,,,,66,privacy,,,,
67,facultades,,,,,,67,purposes,,,,
68,investigue,,,,,,68,executives,,,,
69,dichos,,,,,,69,contractor,,,,
70,acuna,,,,,,70,tool,,,,
71,admitir,,,,,,71,services,,,,
72,metodos,,,,,,72,publicly,,,,
73,palantir,,,,,,73,presumably,,,,
74,venderla,,,,,,74,harvester,,,,
75,ciberdelincuente,,,,,,75,software,,,,
76,fines,,,,,,76,subsidiaries,,,,
77,garantizar,,,,,,77,matchgroup,,,,
78,cantidades,,,,,,78,individuals,,,,
79,implica,,,,,,79,industry,,,,
80,mitigar,,,,,,80,researcher,,,,
81,inai,,,,,,81,directors,,,,
82,involucra,,,,,,82,analytica,,,,
83,informacion,,,,,,83,client,,,,
84,mineria,,,,,,84,potentially,,,,
85,aplicacion,,,,,,85,acquired,,,,
86,canadiense,,,,,,86,parties,,,,
87,resultado,,,,,,87,disclose,,,,
88,responsabilidad,,,,,,88,campaign,,,,
89,labor,,,,,,89,subsidiary,,,,
90,posibles,,,,,,90,contractors,,,,
91,pyme,,,,,,91,metadata,,,,
92,funcionario,,,,,,92,simply,,,,
93,embargo,,,,,,93,explicitly,,,,
94,interferencia,,,,,,94,unethically,,,,
95,regulador,,,,,,95,palantir,,,,
96,autorizacion,,,,,,96,recently,,,,
97,operacion,,,,,,97,advertising,,,,
98,capacidad,,,,,,98,network,,,,
99,indebidamente,,,,,,99,conglomerate,,,,
